2025-08-27 06:40:06,195 INFO    MainThread:2223557 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-08-27 06:40:06,196 INFO    MainThread:2223557 [wandb_setup.py:_flush():80] Configure stats pid to 2223557
2025-08-27 06:40:06,196 INFO    MainThread:2223557 [wandb_setup.py:_flush():80] Loading settings from /home/nlplab/.config/wandb/settings
2025-08-27 06:40:06,196 INFO    MainThread:2223557 [wandb_setup.py:_flush():80] Loading settings from /media/nlplab/hdd1/hclt_ss/grpo/wandb/settings
2025-08-27 06:40:06,196 INFO    MainThread:2223557 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-27 06:40:06,196 INFO    MainThread:2223557 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /media/nlplab/hdd1/hclt_ss/grpo/wandb/run-20250827_064006-2yxgc3i6/logs/debug.log
2025-08-27 06:40:06,196 INFO    MainThread:2223557 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /media/nlplab/hdd1/hclt_ss/grpo/wandb/run-20250827_064006-2yxgc3i6/logs/debug-internal.log
2025-08-27 06:40:06,196 INFO    MainThread:2223557 [wandb_init.py:init():830] calling init triggers
2025-08-27 06:40:06,196 INFO    MainThread:2223557 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-08-27 06:40:06,196 INFO    MainThread:2223557 [wandb_init.py:init():871] starting backend
2025-08-27 06:40:06,401 INFO    MainThread:2223557 [wandb_init.py:init():874] sending inform_init request
2025-08-27 06:40:06,406 INFO    MainThread:2223557 [wandb_init.py:init():882] backend started and connected
2025-08-27 06:40:06,407 INFO    MainThread:2223557 [wandb_init.py:init():953] updated telemetry
2025-08-27 06:40:06,409 INFO    MainThread:2223557 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-27 06:40:07,191 INFO    MainThread:2223557 [wandb_init.py:init():1029] starting run threads in backend
2025-08-27 06:40:07,263 INFO    MainThread:2223557 [wandb_run.py:_console_start():2458] atexit reg
2025-08-27 06:40:07,263 INFO    MainThread:2223557 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-08-27 06:40:07,263 INFO    MainThread:2223557 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-08-27 06:40:07,263 INFO    MainThread:2223557 [wandb_run.py:_redirect():2398] Redirects installed.
2025-08-27 06:40:07,264 INFO    MainThread:2223557 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-27 06:40:13,587 INFO    MsgRouterThr:2223557 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
